tipo_credito,fecha_prestamo,capital_prestado,plazo_meses,edad_cliente,tipo_laboral,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,tendencia_ingresos,Pago_atiempo,anio_prestamo,mes_prestamo,dia_semana_prestamo,hora_prestamo,relacion_cuota_salario,relacion_deuda_salario,saldo_pendiente_estimado,prediccion_modelo,probabilidad_incumplimiento,probabilidad_pago_atiempo,resultado_prediccion
4,2025-02-23 15:40:00,1139880.0,12.0,60.0,Independiente,1800000.0,0.0,89554.0,95.227787,792.0,4.0,3.0,0.0,520.0,520.0,0.0,1.0,0.0,3.0,,,1,2025,2,6,15,0.0497522222222222,0.6332666666666666,0.0,0,0.5268048019673293,0.4731951980326708,Posible incumplimiento
4,2025-12-18 17:10:00,3264960.0,18.0,61.0,Empleado,2981000.0,307000.0,194201.0,95.227787,833.0,3.0,1.0,0.0,16328.0,16328.0,0.0,0.0,1.0,0.0,1000000.0,Estable,1,2025,12,3,17,0.0651462596444146,1.1982422006038242,0.0,1,0.08579025821398967,0.9142097417860103,Pago a tiempo
4,2025-03-28 18:19:00,3059880.0,8.0,48.0,Empleado,5000000.0,3000000.0,347760.0,95.227787,882.0,5.0,4.0,0.0,266080.0,21740.0,0.0,4.0,0.0,0.0,8142500.0,Decreciente,1,2025,3,4,18,0.069552,1.211976,244340.0,1,0.09701456136898445,0.9029854386310155,Pago a tiempo
4,2024-12-01 11:35:00,2328480.0,6.0,58.0,Empleado,1100000.0,300000.0,345212.0,95.227787,780.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908526.0,Decreciente,1,2024,12,6,11,0.3138290909090909,2.389527272727273,0.0,1,0.48913928266233475,0.5108607173376652,Pago a tiempo
4,2025-05-23 15:47:00,1082040.0,8.0,57.0,Empleado,1000000.0,500000.0,123366.0,95.227787,828.0,11.0,1.0,0.0,56145.0,56145.0,0.0,7.0,1.0,2.0,877341.0,Decreciente,1,2025,5,4,15,0.123366,1.58204,0.0,1,0.1497681802396731,0.8502318197603269,Pago a tiempo
4,2025-07-28 11:13:00,1435200.0,6.0,58.0,Empleado,1500000.0,932000.0,216024.0,95.227787,813.0,12.0,5.0,0.0,14141.0,14141.0,0.0,7.0,0.0,0.0,1445454.0,Creciente,1,2025,7,0,11,0.144016,1.5781333333333334,0.0,1,0.1492092401360815,0.8507907598639185,Pago a tiempo
4,2025-05-25 11:41:00,1200000.0,6.0,38.0,Independiente,3800000.0,1800000.0,179733.0,95.227787,713.0,12.0,4.0,0.0,26106.0,22595.0,0.0,0.0,1.0,10.0,,,1,2025,5,6,11,0.0472981578947368,0.7894736842105263,3511.0,0,0.6202197090550533,0.3797802909449467,Posible incumplimiento
9,2025-02-21 16:59:00,878880.0,4.0,55.0,Independiente,4000000.0,2000000.0,176529.0,95.227787,851.0,11.0,3.0,0.0,167607.0,167607.0,0.0,8.0,0.0,3.0,,,1,2025,2,4,16,0.04413225,0.71972,0.0,1,0.2876201311851765,0.7123798688148235,Pago a tiempo
4,2024-12-03 13:26:00,1435200.0,12.0,55.0,Independiente,4000000.0,1200000.0,112240.0,95.227787,822.0,3.0,2.0,0.0,11068.0,11068.0,0.0,3.0,0.0,0.0,,,1,2024,12,1,13,0.02806,0.6588,0.0,1,0.38269233925227986,0.6173076607477201,Pago a tiempo
4,2025-05-24 17:18:00,2400000.0,6.0,56.0,Independiente,1800000.0,800000.0,357677.0,95.227787,794.0,6.0,2.0,0.0,8339.0,8339.0,0.0,5.0,0.0,0.0,826326.0,Decreciente,1,2025,5,5,17,0.1987094444444444,1.7777777777777777,0.0,1,0.3040481584815439,0.6959518415184561,Pago a tiempo
4,2025-01-07 16:22:00,784680.0,6.0,56.0,Independiente,1200000.0,600000.0,108983.0,95.227787,728.0,7.0,1.0,0.0,754.0,754.0,0.0,0.0,0.0,3.0,868181.0,Decreciente,1,2025,1,1,16,0.0908191666666666,1.1539,0.0,1,0.36526817053439664,0.6347318294656034,Pago a tiempo
4,2025-04-03 11:31:00,1824282.0,6.0,55.0,Empleado,2500000.0,1000000.0,270956.0,95.227787,846.0,4.0,3.0,0.0,54701.0,54701.0,0.0,2.0,0.0,0.0,,,1,2025,4,3,11,0.1083824,1.1297128,0.0,1,0.24587940969995337,0.7541205903000466,Pago a tiempo
4,2025-01-12 08:11:00,3566400.0,6.0,54.0,Empleado,2900000.0,1000000.0,528790.0,95.227787,871.0,4.0,1.0,0.0,81547.0,81547.0,0.0,2.0,0.0,0.0,2700033.0,Creciente,1,2025,1,6,8,0.1823413793103448,1.5746206896551724,0.0,1,0.3188685026829189,0.6811314973170811,Pago a tiempo
4,2025-01-25 16:20:00,2763960.0,8.0,53.0,Independiente,5000000.0,2500000.0,313205.0,87.593604,812.0,5.0,3.0,0.0,20454.0,20454.0,0.0,4.0,0.0,0.0,953982.0,Creciente,1,2025,1,5,16,0.062641,1.052792,0.0,1,0.40588561130788225,0.5941143886921177,Pago a tiempo
4,2025-10-26 15:43:00,2580000.0,6.0,53.0,Independiente,1740000.0,89000.0,392970.0,95.227787,802.0,4.0,2.0,0.0,892.0,892.0,0.0,1.0,0.0,1.0,,,1,2025,10,6,15,0.2258448275862069,1.5339080459770116,0.0,1,0.25628157893802694,0.7437184210619731,Pago a tiempo
4,2025-01-23 11:39:00,3382440.0,24.0,53.0,Independiente,3500000.0,500000.0,148690.0,95.227787,847.0,9.0,6.0,0.0,84427.0,84427.0,0.0,6.0,0.0,0.0,,,1,2025,1,3,11,0.0424828571428571,1.1092685714285715,0.0,1,0.4685247058623102,0.5314752941376898,Pago a tiempo
4,2025-08-21 17:03:00,1798441.0,8.0,51.0,Empleado,4090000.0,849000.0,207659.0,95.227787,808.0,8.0,5.0,0.0,40940.0,40940.0,0.0,5.0,0.0,2.0,1693680.0,Creciente,1,2025,8,3,17,0.0507723716381418,0.64729608801956,0.0,1,0.19158130556061215,0.8084186944393879,Pago a tiempo
4,2025-01-07 18:15:00,1439880.0,12.0,50.0,Empleado,5000000.0,3000000.0,99992.0,89.2295,879.0,6.0,1.0,0.0,76890.0,76890.0,0.0,5.0,0.0,0.0,2638083.0,Creciente,1,2025,1,1,18,0.0199984,0.887976,0.0,1,0.17709624232430787,0.8229037576756921,Pago a tiempo
4,2025-03-17 10:32:00,3160080.0,6.0,49.0,Independiente,10000000.0,2500000.0,469358.0,95.227787,762.0,1.0,2.0,0.0,4614.0,4614.0,0.0,0.0,0.0,1.0,,,1,2025,3,0,10,0.0469358,0.566008,0.0,1,0.39949261580201223,0.6005073841979878,Pago a tiempo
9,2025-07-11 11:08:00,2164116.0,9.0,49.0,Independiente,3500000.0,1800000.0,202884.0,95.227787,841.0,3.0,3.0,0.0,40546.0,40546.0,0.0,0.0,0.0,1.0,908808.0,Creciente,1,2025,7,4,11,0.0579668571428571,1.1326045714285715,0.0,1,0.30760174737838164,0.6923982526216184,Pago a tiempo
4,2025-01-20 18:26:00,839880.0,6.0,48.0,Empleado,1170000.0,600000.0,116650.0,95.227787,770.0,2.0,1.0,0.0,95.0,95.0,0.0,0.0,0.0,2.0,,,1,2025,1,0,18,0.0997008547008547,1.2306666666666666,0.0,1,0.264389393292384,0.735610606707616,Pago a tiempo
4,2025-01-10 09:15:00,11712000.0,12.0,49.0,Independiente,25000000.0,10000000.0,916114.0,95.227787,802.0,24.0,8.0,0.0,233889.0,233889.0,0.0,13.0,0.0,8.0,1950000.0,Creciente,1,2025,1,4,9,0.03664456,0.86848,0.0,1,0.294172560124343,0.705827439875657,Pago a tiempo
4,2025-01-11 12:43:00,1646280.0,6.0,48.0,Independiente,3800000.0,500000.0,228650.0,95.227787,887.0,3.0,5.0,0.0,695.0,695.0,0.0,2.0,0.0,0.0,1550000.0,Estable,1,2025,1,5,12,0.0601710526315789,0.5648105263157894,0.0,0,0.501138053081088,0.4988619469189119,Posible incumplimiento
4,2025-01-13 08:15:00,902400.0,6.0,46.0,Empleado,3200000.0,1200000.0,133799.0,95.227787,705.0,4.0,2.0,0.0,1205.0,1205.0,0.0,1.0,0.0,2.0,908526.0,Estable,1,2025,1,0,8,0.0418121875,0.657,0.0,1,0.4020170687890128,0.5979829312109872,Pago a tiempo
9,2025-05-16 15:55:00,1506751.0,10.0,58.0,Independiente,1200000.0,400000.0,128266.0,95.227787,818.0,4.0,0.0,0.0,7673.0,7673.0,0.0,3.0,0.0,1.0,939017.0,Creciente,1,2025,5,4,15,0.1068883333333333,1.5889591666666667,0.0,1,0.23143762847042404,0.768562371529576,Pago a tiempo
4,2025-07-25 17:32:00,2350920.0,18.0,67.0,Empleado,1800000.0,400000.0,129530.0,95.227787,758.0,4.0,2.0,0.0,32429.0,32429.0,0.0,1.0,0.0,2.0,961885.0,Creciente,1,2025,7,4,17,0.0719611111111111,1.5282888888888888,0.0,1,0.2127289780773438,0.7872710219226562,Pago a tiempo
4,2025-01-23 16:27:00,2046840.0,12.0,53.0,Independiente,1800000.0,900000.0,161075.0,95.227787,820.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1,2025,1,3,16,0.0894861111111111,1.637133333333333,0.0,1,0.2842001238959746,0.7157998761040254,Pago a tiempo
4,2026-01-06 16:21:00,1880040.0,6.0,51.0,Empleado,4906000.0,1010000.0,288062.0,95.227787,799.0,9.0,2.0,0.0,85081.0,85081.0,0.0,3.0,0.0,4.0,6849505.0,Creciente,1,2026,1,1,16,0.0587162657969832,0.5890827558092132,0.0,1,0.08213579316468433,0.9178642068353157,Pago a tiempo
4,2025-07-19 11:55:00,4716000.0,36.0,38.0,Empleado,2000000.0,100000.0,161919.0,95.227787,790.0,8.0,7.0,0.0,6593.0,6593.0,0.0,5.0,0.0,1.0,1293171.0,Creciente,1,2025,7,5,11,0.0809595,2.408,0.0,0,0.5207856840678473,0.47921431593215263,Posible incumplimiento
4,2025-01-14 17:18:00,2626500.0,24.0,39.0,Empleado,2400000.0,700000.0,114556.0,95.227787,816.0,7.0,4.0,0.0,27313.0,27313.0,0.0,4.0,0.0,0.0,2836865.0,Decreciente,1,2025,1,1,17,0.0477316666666666,1.3860416666666666,0.0,1,0.3485573359093961,0.6514426640906039,Pago a tiempo
4,2025-04-24 17:16:00,2400000.0,10.0,50.0,Empleado,2400000.0,1000000.0,222420.0,95.227787,810.0,4.0,3.0,0.0,17427.0,17427.0,0.0,2.0,0.0,1.0,808333.0,Creciente,1,2025,4,3,17,0.092675,1.4166666666666667,0.0,1,0.2327210096779202,0.7672789903220798,Pago a tiempo
4,2025-02-07 18:35:00,590400.0,12.0,51.0,Empleado,1000000.0,300000.0,46327.0,95.227787,758.0,13.0,6.0,0.0,84947.0,84947.0,0.0,4.0,0.0,4.0,923771.0,Creciente,1,2025,2,4,18,0.046327,0.8904,0.0,1,0.3793231914587406,0.6206768085412594,Pago a tiempo
4,2025-01-09 11:55:00,2747640.0,12.0,46.0,Independiente,3000000.0,400000.0,190808.0,95.227787,868.0,7.0,4.0,0.0,29414.0,29414.0,0.0,4.0,0.0,0.0,,,1,2025,1,3,11,0.0636026666666666,1.049213333333333,0.0,1,0.3680556772513268,0.6319443227486732,Pago a tiempo
4,2025-05-12 16:10:00,624000.0,6.0,44.0,Empleado,1200000.0,500000.0,92996.0,95.227787,860.0,6.0,4.0,0.0,4613.0,4613.0,0.0,4.0,0.0,1.0,800000.0,Decreciente,1,2025,5,0,16,0.0774966666666666,0.9366666666666666,0.0,1,0.22828380733420817,0.7717161926657918,Pago a tiempo
4,2025-08-10 11:39:00,4094400.0,6.0,45.0,Empleado,3500000.0,950000.0,607076.0,95.227787,901.0,4.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7059391.0,Creciente,1,2025,8,6,11,0.1734502857142857,1.4412571428571428,0.0,1,0.3277883615481122,0.6722116384518878,Pago a tiempo
4,2025-04-18 18:45:00,995880.0,8.0,45.0,Empleado,1500000.0,500000.0,113183.0,95.227787,837.0,12.0,8.0,0.0,34397.0,34397.0,0.0,7.0,0.0,2.0,830154.0,Creciente,1,2025,4,4,18,0.0754553333333333,0.9972533333333332,0.0,1,0.2989397502882001,0.7010602497117999,Pago a tiempo
4,2025-01-02 07:57:00,2373600.0,10.0,44.0,Empleado,1100000.0,500000.0,219168.0,95.227787,899.0,3.0,1.0,0.0,2461.0,2461.0,0.0,2.0,0.0,1.0,30285.0,Decreciente,1,2025,1,3,7,0.1992436363636363,2.612363636363636,0.0,1,0.3425966493642515,0.6574033506357485,Pago a tiempo
4,2025-05-15 10:40:00,1863754.0,12.0,42.0,Empleado,1800000.0,600000.0,148673.0,95.227787,760.0,5.0,4.0,0.0,2131.0,2131.0,0.0,2.0,0.0,2.0,1702686.0,Creciente,1,2025,5,3,10,0.0825961111111111,1.368752222222222,0.0,1,0.35031674062604323,0.6496832593739568,Pago a tiempo
4,2025-02-18 10:29:00,2076000.0,6.0,40.0,Independiente,3000000.0,1000000.0,308343.0,95.227787,805.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,,1,2025,2,1,10,0.102781,1.0253333333333334,0.0,1,0.42164224510918824,0.5783577548908118,Pago a tiempo
4,2025-01-13 11:08:00,1200000.0,6.0,45.0,Empleado,10000000.0,4000000.0,166667.0,95.227787,738.0,34.0,7.0,0.0,252218.0,249743.0,0.0,13.0,2.0,13.0,1075192.0,Creciente,1,2025,1,0,11,0.0166667,0.52,2475.0,1,0.348458789635675,0.651541210364325,Pago a tiempo
4,2025-04-29 12:33:00,3706440.0,6.0,49.0,Independiente,12000000.0,3000000.0,551041.0,95.227787,717.0,11.0,5.0,0.0,112721.0,100317.0,0.0,9.0,0.0,0.0,,,1,2025,4,1,12,0.0459200833333333,0.55887,12404.0,1,0.32426749779528197,0.675732502204718,Pago a tiempo
4,2025-05-30 11:38:00,4044000.0,6.0,47.0,Independiente,4000000.0,1500000.0,607905.0,95.227787,789.0,10.0,2.0,0.0,42169.0,42169.0,0.0,6.0,0.0,2.0,,,1,2025,5,4,11,0.15197625,1.386,0.0,1,0.2880844966905809,0.7119155033094191,Pago a tiempo
4,2025-05-03 16:00:00,6782400.0,36.0,40.0,Empleado,4050000.0,850000.0,225321.0,95.227787,749.0,4.0,8.0,0.0,39591.0,39591.0,0.0,0.0,0.0,3.0,3998892.0,Creciente,1,2025,5,5,16,0.0556348148148148,1.8845432098765431,0.0,0,0.528129364855658,0.47187063514434197,Posible incumplimiento
4,2025-01-02 17:14:00,1637880.0,12.0,68.0,Empleado,2200000.0,500000.0,113742.0,95.227787,838.0,6.0,5.0,0.0,1282.0,1282.0,0.0,3.0,1.0,1.0,,,1,2025,1,3,17,0.051700909090909,0.9717636363636364,0.0,1,0.27874348854826303,0.721256511451737,Pago a tiempo
4,2025-03-10 11:40:00,8400000.0,12.0,66.0,Independiente,7000000.0,500000.0,660698.0,95.227787,794.0,4.0,4.0,0.0,6083.0,6083.0,0.0,1.0,0.0,2.0,,,1,2025,3,0,11,0.0943854285714285,1.2714285714285714,0.0,1,0.24379990335600554,0.7562000966439945,Pago a tiempo
4,2025-02-27 12:28:00,3547968.0,12.0,62.0,Empleado,6000000.0,2000000.0,278744.0,95.227787,872.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6407219.0,Creciente,1,2025,2,3,12,0.0464573333333333,0.9246613333333332,0.0,1,0.13439638756550387,0.8656036124344961,Pago a tiempo
4,2025-01-23 14:16:00,2267760.0,12.0,62.0,Empleado,2000000.0,400000.0,157483.0,95.227787,894.0,4.0,2.0,0.0,56692.0,56692.0,0.0,3.0,0.0,0.0,,,1,2025,1,3,14,0.0787415,1.33388,0.0,1,0.21418427364995796,0.785815726350042,Pago a tiempo
4,2025-01-16 18:25:00,1847880.0,12.0,61.0,Empleado,1500000.0,300000.0,128325.0,95.227787,735.0,7.0,2.0,0.0,15406.0,14305.0,0.0,3.0,0.0,3.0,916148.0,Creciente,1,2025,1,3,18,0.08555,1.43192,1101.0,1,0.28820861154151667,0.7117913884584833,Pago a tiempo
4,2025-01-31 17:45:00,1174080.0,24.0,59.0,Empleado,2800000.0,780000.0,51326.0,50.144469,796.0,9.0,9.0,0.0,16684.0,12928.0,0.0,5.0,0.0,2.0,,,0,2025,1,4,17,0.0183307142857142,0.6978857142857143,3756.0,0,0.5565722156308675,0.44342778436913255,Posible incumplimiento
4,2025-08-12 17:11:00,2222040.0,8.0,58.0,Independiente,2440000.0,762000.0,254930.0,95.227787,841.0,6.0,7.0,0.0,183564.0,21381.0,0.0,4.0,0.0,0.0,954263.0,Creciente,1,2025,8,1,17,0.1044795081967213,1.2229672131147542,162183.0,1,0.19852649002250322,0.8014735099774968,Pago a tiempo
4,2025-01-07 15:43:00,840000.0,6.0,57.0,Empleado,4000000.0,2400000.0,124592.0,95.227787,778.0,3.0,5.0,0.0,8490.0,8490.0,0.0,2.0,0.0,0.0,,,1,2025,1,1,15,0.031148,0.81,0.0,1,0.33141945624275004,0.66858054375725,Pago a tiempo
4,2025-11-16 17:11:00,3139860.0,12.0,44.0,Empleado,1930000.0,483000.0,257432.0,95.227787,845.0,7.0,3.0,0.0,35209.0,29725.0,0.0,2.0,2.0,0.0,1251775.0,Creciente,1,2025,11,6,17,0.1333844559585492,1.8771295336787568,5484.0,1,0.12270458829654451,0.8772954117034555,Pago a tiempo
4,2025-01-23 08:10:00,3939840.0,12.0,38.0,Empleado,7000000.0,2000000.0,308555.0,95.227787,852.0,5.0,4.0,0.0,17534.0,17534.0,0.0,4.0,0.0,0.0,1212441.0,Creciente,1,2025,1,3,8,0.0440792857142857,0.8485485714285714,0.0,1,0.34403094165381454,0.6559690583461855,Pago a tiempo
4,2025-01-21 16:19:00,5192149.0,12.0,37.0,Independiente,1800000.0,600000.0,360566.0,95.227787,841.0,5.0,2.0,0.0,29.0,29.0,0.0,3.0,0.0,0.0,1206666.0,Decreciente,1,2025,1,1,16,0.2003144444444444,3.217860555555556,0.0,1,0.24362211192328664,0.7563778880767134,Pago a tiempo
9,2025-07-09 14:45:00,821208.0,3.0,27.0,Independiente,5000000.0,2000000.0,218144.0,95.227787,734.0,9.0,4.0,0.0,2831.0,2831.0,0.0,4.0,0.0,4.0,,,1,2025,7,2,14,0.0436288,0.5642416,0.0,1,0.40126015551239647,0.5987398444876035,Pago a tiempo
4,2025-09-11 13:19:00,4038192.0,24.0,68.0,Empleado,2440000.0,821000.0,184059.0,95.227787,841.0,8.0,2.0,0.0,11185.0,11185.0,0.0,5.0,0.0,0.0,,,1,2025,9,3,13,0.0754340163934426,1.991472131147541,0.0,1,0.12557482519412544,0.8744251748058746,Pago a tiempo
4,2025-05-07 16:05:00,3866460.0,36.0,66.0,Empleado,1500000.0,500000.0,125969.0,95.227787,799.0,4.0,3.0,0.0,4931.0,4931.0,0.0,2.0,0.0,2.0,1168723.0,Creciente,1,2025,5,2,16,0.0839793333333333,2.910973333333333,0.0,1,0.35215663686726273,0.6478433631327373,Pago a tiempo
4,2025-01-21 11:48:00,2047080.0,12.0,64.0,Independiente,4000000.0,1000000.0,160427.0,95.227787,792.0,15.0,5.0,0.0,24834.0,24834.0,0.0,8.0,0.0,5.0,,,1,2025,1,1,11,0.04010675,0.76177,0.0,1,0.4178990914259634,0.5821009085740366,Pago a tiempo
4,2025-01-20 18:59:00,3230388.0,12.0,64.0,Empleado,2000000.0,500000.0,224333.0,95.227787,900.0,6.0,2.0,0.0,63263.0,63263.0,0.0,4.0,0.0,0.0,1524348.0,Creciente,1,2025,1,0,18,0.1121665,1.865194,0.0,1,0.1300033789556707,0.8699966210443293,Pago a tiempo
4,2025-01-08 13:58:00,4028160.0,12.0,63.0,Empleado,3600000.0,3600000.0,279733.0,95.227787,847.0,6.0,0.0,0.0,28358.0,28358.0,0.0,4.0,0.0,0.0,5242246.0,Estable,1,2025,1,2,13,0.0777036111111111,2.118933333333333,0.0,1,0.10633744868958606,0.8936625513104139,Pago a tiempo
4,2025-03-15 18:15:00,3508200.0,6.0,60.0,Empleado,3500000.0,2000000.0,521063.0,95.227787,878.0,7.0,2.0,0.0,146582.0,146582.0,0.0,6.0,0.0,1.0,6090475.0,Creciente,1,2025,3,5,18,0.1488751428571428,1.5737714285714286,0.0,1,0.1532840067086615,0.8467159932913385,Pago a tiempo
4,2025-05-18 10:30:00,8640000.0,12.0,57.0,Independiente,16000000.0,3900000.0,679920.0,95.227787,816.0,6.0,6.0,0.0,108562.0,108562.0,0.0,3.0,0.0,2.0,1015000.0,Estable,1,2025,5,6,10,0.042495,0.78375,0.0,1,0.342233184502422,0.657766815497578,Pago a tiempo
4,2025-03-30 07:01:00,2884560.0,12.0,55.0,Empleado,4000000.0,1500000.0,226624.0,95.227787,830.0,5.0,3.0,0.0,14384.0,14384.0,0.0,0.0,4.0,0.0,3366703.0,Creciente,1,2025,3,6,7,0.056656,1.09614,0.0,1,0.23919724304379797,0.760802756956202,Pago a tiempo
4,2025-03-25 18:00:00,5775240.0,6.0,56.0,Empleado,8000000.0,2000000.0,858322.0,95.227787,785.0,23.0,4.0,0.0,166167.0,166167.0,0.0,22.0,0.0,0.0,14238429.0,Creciente,1,2025,3,1,18,0.10729025,0.971905,0.0,1,0.041736272943650454,0.9582637270563495,Pago a tiempo
4,2025-01-13 16:23:00,1920000.0,6.0,54.0,Independiente,3500000.0,700000.0,266667.0,95.227787,820.0,4.0,2.0,0.0,35291.0,21469.0,0.0,0.0,0.0,2.0,1715200.0,Estable,1,2025,1,0,16,0.0761905714285714,0.7485714285714286,13822.0,1,0.3089842339395221,0.6910157660604779,Pago a tiempo
4,2025-02-06 09:17:00,1036800.0,10.0,58.0,Empleado,2600000.0,300000.0,95840.0,95.227787,827.0,5.0,1.0,0.0,2147.0,2147.0,0.0,2.0,0.0,2.0,1789941.0,Creciente,1,2025,2,3,9,0.0368615384615384,0.5141538461538462,0.0,1,0.30127737244249175,0.6987226275575082,Pago a tiempo
4,2025-01-02 12:39:00,846420.0,6.0,68.0,Empleado,1300000.0,300000.0,125544.0,95.227787,822.0,1.0,0.0,0.0,21477.0,21477.0,0.0,1.0,0.0,0.0,916148.0,Creciente,1,2025,1,3,12,0.0965723076923077,0.8818615384615385,0.0,1,0.2458650224472817,0.7541349775527183,Pago a tiempo
4,2025-01-16 10:52:00,1689480.0,12.0,68.0,Independiente,3000000.0,1000000.0,117325.0,95.227787,874.0,3.0,2.0,0.0,7164.0,7164.0,0.0,1.0,1.0,0.0,2324280.0,Creciente,1,2025,1,3,10,0.0391083333333333,0.8964933333333334,0.0,1,0.30271132197987294,0.6972886780201271,Pago a tiempo
4,2024-12-05 14:53:00,480000.0,6.0,64.0,Empleado,2000000.0,580000.0,71242.0,95.227787,743.0,9.0,9.0,0.0,9785.0,9785.0,0.0,3.0,0.0,6.0,91777.0,Creciente,1,2024,12,3,14,0.035621,0.53,0.0,0,0.5659141933403711,0.43408580665962887,Posible incumplimiento
4,2025-01-23 13:40:00,7924920.0,6.0,68.0,Empleado,2000000.0,500000.0,1175027.0,95.227787,903.0,5.0,2.0,0.0,9023.0,9023.0,0.0,3.0,0.0,0.0,908526.0,Estable,1,2025,1,3,13,0.5875135,4.21246,0.0,1,0.17893742108370836,0.8210625789162916,Pago a tiempo
4,2025-04-08 17:58:00,3288780.0,6.0,67.0,Independiente,3000000.0,1000000.0,488474.0,95.227787,901.0,4.0,3.0,0.0,23810.0,23410.0,0.0,2.0,0.0,1.0,1000000.0,Estable,1,2025,4,1,17,0.1628246666666666,1.4295933333333333,400.0,1,0.21975243635543407,0.7802475636445659,Pago a tiempo
4,2025-02-27 17:19:00,1200000.0,6.0,65.0,Empleado,2000000.0,800000.0,178354.0,95.227787,803.0,1.0,0.0,0.0,3206.0,3206.0,0.0,1.0,0.0,0.0,1000000.0,Estable,1,2025,2,3,17,0.089177,1.0,0.0,1,0.1846019177511622,0.8153980822488378,Pago a tiempo
9,2025-06-20 15:51:00,821208.0,11.0,45.0,Empleado,5000000.0,2000000.0,64184.0,95.227787,860.0,6.0,1.0,0.0,19590.0,19590.0,0.0,4.0,0.0,2.0,954263.0,Creciente,1,2025,6,4,15,0.0128368,0.5642416,0.0,1,0.2044109829058569,0.7955890170941431,Pago a tiempo
4,2025-01-21 16:59:00,2194680.0,12.0,65.0,Independiente,4000000.0,2000000.0,152408.0,95.227787,847.0,5.0,2.0,0.0,6871.0,6871.0,0.0,5.0,0.0,0.0,957105.0,Creciente,1,2025,1,1,16,0.038102,1.04867,0.0,1,0.2617138956000554,0.7382861043999446,Pago a tiempo
4,2025-01-24 11:31:00,951900.0,6.0,66.0,Empleado,3100000.0,1000000.0,141287.0,0.240761,813.0,8.0,5.0,0.0,98327.0,98327.0,0.0,5.0,0.0,1.0,2959651.0,Creciente,0,2025,1,4,11,0.0455764516129032,0.6296451612903226,0.0,1,0.28342653387957106,0.7165734661204289,Pago a tiempo
4,2025-01-12 16:23:00,1068961.0,6.0,65.0,Empleado,3500000.0,2000000.0,148467.0,95.227787,806.0,5.0,3.0,0.0,43843.0,43843.0,0.0,4.0,0.0,0.0,3449815.0,Creciente,1,2025,1,6,16,0.0424191428571428,0.876846,0.0,1,0.28022691878888384,0.7197730812111162,Pago a tiempo
4,2025-05-27 16:44:00,645479.0,6.0,41.0,Empleado,2200000.0,455000.0,96348.0,95.227787,756.0,13.0,4.0,0.0,3223.0,3223.0,0.0,4.0,0.0,8.0,2100000.0,Creciente,1,2025,5,1,16,0.0437945454545454,0.5002177272727273,0.0,1,0.30082831816682387,0.6991716818331761,Pago a tiempo
4,2025-02-07 08:08:00,2280000.0,24.0,37.0,Independiente,3500000.0,1800000.0,99660.0,95.227787,799.0,5.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,916841.0,Creciente,1,2025,2,4,8,0.0284742857142857,1.1657142857142857,0.0,0,0.7303814847948726,0.26961851520512736,Posible incumplimiento
4,2025-01-21 14:52:00,3955081.0,12.0,38.0,Empleado,6000000.0,800000.0,274658.0,95.227787,792.0,11.0,3.0,0.0,94485.0,94485.0,0.0,6.0,2.0,1.0,6515417.0,Creciente,1,2025,1,1,14,0.0457763333333333,0.7925135,0.0,1,0.13395907968569598,0.866040920314304,Pago a tiempo
4,2025-08-15 10:39:00,3357248.0,6.0,39.0,Empleado,4040000.0,1452000.0,505379.0,95.227787,759.0,4.0,8.0,0.0,53714.0,53714.0,0.0,4.0,0.0,0.0,4060121.0,Creciente,1,2025,8,4,10,0.1250938118811881,1.1904079207920792,0.0,1,0.3178251009793086,0.6821748990206914,Pago a tiempo
4,2025-02-28 12:42:00,3955500.0,12.0,38.0,Independiente,7500000.0,3000000.0,310354.0,95.227787,734.0,13.0,8.0,0.0,21005.0,21005.0,0.0,5.0,0.0,6.0,1656231.0,Estable,1,2025,2,4,12,0.0413805333333333,0.9274,0.0,0,0.5569331333891219,0.44306686661087813,Posible incumplimiento
4,2025-01-23 10:06:00,1643879.0,24.0,39.0,Independiente,3605000.0,2100000.0,71855.0,95.227787,711.0,8.0,5.0,0.0,128700.0,128700.0,0.0,5.0,0.0,0.0,1750000.0,Creciente,1,2025,1,3,10,0.0199320388349514,1.0385239944521498,0.0,0,0.6217473514336944,0.3782526485663055,Posible incumplimiento
4,2025-01-14 09:19:00,2767080.0,12.0,59.0,Empleado,3600000.0,500000.0,192158.0,95.227787,794.0,20.0,7.0,0.0,81622.0,81622.0,0.0,11.0,1.0,3.0,1216666.0,Creciente,1,2025,1,1,9,0.0533772222222222,0.9075222222222222,0.0,1,0.27448378439160603,0.725516215608394,Pago a tiempo
